id,ffc,delivery_program,tender_closed,owner_group,bni,bca,pbc,ept,approval_body,owner_team,stage1,stage2,stage3,cdm,ffc_band,status,conception_duration,completion_duration
F10383,3202419.229999999,Major Works - Small Scale,2022-03-18T17:00:00Z,Service & Asset Lifecycle,2020-01-20,2022-05-12,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-04-16,2024-07-18,2025-04-14,CDM-21,< = 5,Completed,NA,705d 0H 0M 0S
F10388,2108435.7899999996,Major Works - Framework,2020-02-24T17:00:00Z,Service & Asset Lifecycle,2019-12-16,2020-04-15,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-09-16,2021-12-22,2022-11-29,CDM-16,< = 5,Completed,NA,519d 0H 0M 0S
F10389,4946733.329999999,Major Works - Small Scale,2020-08-28T17:00:00Z,Service & Asset Lifecycle,2020-01-30,2020-10-12,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2021-12-15,2022-07-29,2023-12-01,CDM-16,< = 5,Completed,NA,429d 0H 0M 0S
F10408,777573.25,Major Works - Small Scale,2020-06-29T17:00:00Z,Service & Asset Lifecycle,2020-01-06,2021-03-18,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-05-09,NA,2026-04-21,CDM-16,< = 5,Completed,NA,1148d 0H 0M 0S
F10409,1249940.7800000005,Contestable,2020-10-22T17:00:00Z,Service & Asset Lifecycle,2019-10-24,2021-06-23,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-05-02,2022-07-25,2023-05-31,CDM-16,< = 5,Completed,NA,313d 0H 0M 0S
F10410,2487203.92,Major Works - Small Scale,2021-11-30T17:00:00Z,Service & Asset Lifecycle,2021-08-24,2022-02-15,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-07-03,2024-10-03,2025-07-03,CDM-21,< = 5,Completed,NA,869d 0H 0M 0S
F10411,5470804.920000003,Contestable,2021-12-09T17:00:00Z,Service & Asset Lifecycle,2019-10-24,2022-03-04,NA,2 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2024-05-13,2024-08-06,2025-05-12,CDM-21,5-10,Completed,NA,801d 0H 0M 0S
F10412,5803002.15,Contestable,2027-04-07T17:00:00Z,Service & Asset Lifecycle,2019-10-24,2027-06-28,NA,2 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2028-09-14,2028-12-18,2029-09-14,CDM-26,5-10,Ongoing,NA,444d 0H 0M 0S
F10413,5819966.15,Contestable,2028-02-23T17:00:00Z,Service & Asset Lifecycle,2019-10-24,2028-05-02,NA,2 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2029-07-03,2029-10-03,2030-07-04,CDM-26,5-10,Ongoing,NA,427d 0H 0M 0S
F10414,4917997.55,Contestable,2028-02-29T17:00:00Z,Service & Asset Lifecycle,2019-10-24,2028-05-08,NA,2 Gate Major Infrastructure,Senior Leadership Group,Service Enablement - One Water,2029-02-05,2029-05-11,2030-02-06,CDM-26,< = 5,Ongoing,NA,273d 0H 0M 0S
F10416,4700844.409999999,Major Works - Small Scale,2021-08-06T17:00:00Z,Service & Asset Lifecycle,2020-06-25,2021-10-19,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2023-12-08,2024-03-20,2024-12-09,CDM-16,< = 5,Completed,NA,780d 0H 0M 0S
F10427,13260174.98,Major Works - Framework,2023-07-21T17:00:00Z,Service & Asset Lifecycle,2021-06-28,2023-11-24,2022-03-25,3 Gate Major Infrastructure,MD,Major Capital Delivery,2026-10-23,2027-02-12,2028-10-26,CDM-21,10-20,Ongoing,270d 0H 0M 0S,1064d 0H 0M 0S
F10428,7239512.35,Major Works - Framework,2022-01-31T17:00:00Z,Service & Asset Lifecycle,2020-09-21,2022-04-05,2021-10-08,3 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2026-06-22,2026-09-21,2028-06-22,CDM-21,5-10,Ongoing,382d 0H 0M 0S,1539d 0H 0M 0S
F10437,1050852.43,Major Works - Small Scale,2021-03-23T17:00:00Z,Service & Asset Lifecycle,2019-11-01,2021-06-30,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-06-20,2022-10-28,2023-08-21,CDM-16,< = 5,Completed,NA,355d 0H 0M 0S
F10443,1067392.2499999995,Major Works - Framework,2020-04-01T08:00:00Z,Service & Asset Lifecycle,2019-12-04,2020-08-04,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-04-16,2021-07-19,2023-12-04,CDM-16,< = 5,Completed,NA,255d 0H 0M 0S
F10446,4884065.8,Major Works - Small Scale,2022-08-31T17:00:00Z,Service & Asset Lifecycle,2019-11-26,2022-11-04,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2025-07-01,2025-10-01,2026-07-01,CDM-21,< = 5,Ongoing,NA,970d 0H 0M 0S
F10449,1237620.87,Major Works - Small Scale,2024-02-23T17:00:00Z,Service & Asset Lifecycle,2021-06-11,2024-03-25,2023-04-11,3 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-02-06,2025-05-14,2026-02-09,CDM-21,< = 5,Ongoing,669d 0H 0M 0S,318d 0H 0M 0S
F10450,2108952.58,Major Works - Small Scale,2023-09-28T17:00:00Z,Service & Asset Lifecycle,2021-06-11,2023-12-19,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-11-01,2025-02-12,2025-11-03,CDM-21,< = 5,Ongoing,NA,318d 0H 0M 0S
F10451,6272824.569999999,Major Works - Small Scale,2026-04-10T17:00:00Z,Service & Asset Lifecycle,2021-06-16,2026-09-07,2025-05-05,3 Gate Major Infrastructure,Executive Leadership Group,Service Enablement Waterways Catchments & Geotechnical,2027-11-11,2028-02-18,2028-11-09,CDM-21,5-10,Ongoing,1419d 0H 0M 0S,430d 0H 0M 0S
F10461,7735811.53,Major Works - Framework,2021-02-23T17:00:00Z,Service & Asset Lifecycle,2020-07-14,2021-08-05,2020-11-11,3 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2024-07-01,2024-09-26,2026-06-30,CDM-16,5-10,Completed,120d 0H 0M 0S,1061d 0H 0M 0S
F10463,231693.58999999997,Major Works - Small Scale,2021-03-09T17:00:00Z,Service & Asset Lifecycle,2020-08-19,2021-03-23,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-08-18,2023-02-20,2023-04-05,CDM-16,< = 5,Completed,NA,148d 0H 0M 0S
F10467,513497.62000000005,Contestable,2021-12-10T17:00:00Z,Service & Asset Lifecycle,2021-08-03,2022-03-11,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-09-15,2024-03-18,2024-09-16,CDM-21,< = 5,Completed,NA,553d 0H 0M 0S
F10476,5249338.0600000005,Major Works - Small Scale,2024-08-13T17:00:00Z,Service & Asset Lifecycle,2020-05-29,2025-01-06,NA,2 Gate Major Infrastructure,Executive Leadership Group,Service Enablement Waterways Catchments & Geotechnical,2025-11-06,2026-02-19,2026-11-26,CDM-21,5-10,Ongoing,NA,304d 0H 0M 0S
F10479,589306.3399999999,Major Works - Small Scale,2020-05-06T17:00:00Z,Service & Asset Lifecycle,2020-04-07,2020-06-18,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-07-22,2024-10-22,2025-07-23,CDM-16,< = 5,Completed,NA,1495d 0H 0M 0S
F10481,1682144.9,Major Works - Small Scale,2020-06-22T17:00:00Z,Service & Asset Lifecycle,2020-05-20,2020-07-14,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-06-24,2022-12-07,2022-12-07,CDM-16,< = 5,Completed,NA,345d 0H 0M 0S
F10483,402853.61,Contestable,2021-12-10T17:00:00Z,Service & Asset Lifecycle,2021-06-15,2022-03-11,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-09-20,2024-03-08,2024-09-19,CDM-21,< = 5,Completed,NA,558d 0H 0M 0S
F10501,385788.67,Contestable,2021-02-17T17:00:00Z,Service & Asset Lifecycle,2020-08-18,2021-03-23,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-04-05,2024-07-09,2025-04-03,CDM-16,< = 5,Completed,NA,1109d 0H 0M 0S
F10514,1850973.8299999991,Major Works - Small Scale,2022-10-27T17:00:00Z,Service & Asset Lifecycle,2022-03-21,2023-01-30,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-05-30,2024-08-30,2025-07-01,CDM-21,< = 5,Completed,NA,486d 0H 0M 0S
F10515,415673.9700000001,Major Works - Small Scale,2021-11-24T17:00:00Z,Service & Asset Lifecycle,2020-12-14,2022-03-01,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-06-30,2022-09-20,2023-09-06,CDM-21,< = 5,Completed,NA,121d 0H 0M 0S
F10517,116204.69,Contestable,2020-09-28T17:00:00Z,Service & Asset Lifecycle,2020-07-22,2020-10-30,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-01-31,2022-04-29,2023-01-27,CDM-16,< = 5,Completed,NA,458d 0H 0M 0S
F10520,691155.9999999999,Major Works - Small Scale,2020-10-06T17:00:00Z,Service & Asset Lifecycle,2020-08-04,2020-11-05,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-03-05,2021-08-13,2022-03-15,CDM-16,< = 5,Completed,NA,120d 0H 0M 0S
F10523,307225.78,Major Works - Small Scale,2021-03-29T17:00:00Z,Service & Asset Lifecycle,2020-08-03,2021-12-09,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-08-12,2024-11-13,2025-08-12,CDM-16,< = 5,Completed,NA,977d 0H 0M 0S
F10525,262842.39,Contestable,2020-10-09T17:00:00Z,Service & Asset Lifecycle,2020-07-29,2020-11-27,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-06-29,2022-06-22,2022-10-31,CDM-16,< = 5,Completed,NA,214d 0H 0M 0S
F10528,232974.75999999992,Contestable,2021-02-19T17:00:00Z,Service & Asset Lifecycle,2020-07-29,2021-06-23,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-04-22,2022-06-20,2023-10-10,CDM-16,< = 5,Completed,NA,303d 0H 0M 0S
F10530,1401607.8700000006,Major Works - Small Scale,2021-06-10T17:00:00Z,Service & Asset Lifecycle,2020-11-11,2021-08-25,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-03-18,2024-06-21,2025-03-18,CDM-16,< = 5,Completed,NA,936d 0H 0M 0S
F10531,586219.73,Contestable,2020-08-31T17:00:00Z,Service & Asset Lifecycle,2020-07-29,2020-09-21,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-03-12,2021-06-08,2022-03-22,CDM-16,< = 5,Completed,NA,172d 0H 0M 0S
F10533,882401.14,Major Works - Small Scale,2021-08-31T17:00:00Z,Service & Asset Lifecycle,2021-02-16,2021-11-17,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-11-03,2023-02-11,2023-11-02,CDM-16,< = 5,Completed,NA,351d 0H 0M 0S
F10544,2343533.1799999997,Major Works - Small Scale,2021-06-25T17:00:00Z,Service & Asset Lifecycle,2020-08-27,2021-08-19,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-07-07,2022-10-07,2024-07-30,CDM-16,< = 5,Completed,NA,322d 0H 0M 0S
F10554,2640733.5399999996,Major Works - Small Scale,2021-11-26T17:00:00Z,Service & Asset Lifecycle,2021-06-11,2022-06-01,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-05-29,2024-08-28,2025-05-29,CDM-21,< = 5,Completed,NA,728d 0H 0M 0S
