ID,FFC,Delivery Program,Tender Closed,Owner Group,BNI,BCA,PBC,EPT,Approval body,Owner Team,Stage1,Stage2,Stage3
F10160,2290536.32,Major Works - Framework,2018-08-03 17:00:00,Service & Asset Lifecycle,24/05/2018 8:00:00 AM,2018-10-09 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2019-05-02 14:33:36,2019-12-03 08:02:24,2020-05-02 17:00:00
F10164,3469146.9699999997,Major Works - Small Scale,2024-03-05 17:00:00,Service & Asset Lifecycle,25/02/2020 5:00:00 PM,2024-05-27 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2025-05-27 17:00:00,2025-08-20 17:00:00,2027-05-28 17:00:00
F10192,29685238.250000007,Major Works - Framework,2021-04-12 17:00:00,Service & Asset Lifecycle,17/08/2018 5:00:00 PM,2021-05-28 08:00:00,26/11/2018 5:00:00 PM,3 Gate Major Infrastructure,MD,Major Capital Delivery,2024-01-08 17:00:00,2024-04-10 17:00:00,2025-09-15 17:00:00
F10198,2516221.5899999994,Major Works - Small Scale,2019-08-27 17:00:00,Service & Asset Lifecycle,19/12/2018 5:00:00 PM,2019-09-25 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-04-05 17:00:00,2024-07-05 17:00:00,2025-04-03 17:00:00
F10200,16181318.11,Major Works - Framework,2020-09-04 17:00:00,Service & Asset Lifecycle,21/03/2019 5:00:00 PM,2020-09-25 17:00:00,10/07/2020 8:00:00 AM,3 Gate Major Infrastructure,MD,Major Capital Delivery,2022-03-11 17:00:00,2022-09-02 17:00:00,2024-03-12 17:00:00
F10212,18077042.689999998,Major Works - Framework,2019-11-01 17:00:00,Service & Asset Lifecycle,25/06/2019 5:00:00 PM,2019-12-19 17:00:00,,3 Gate Major Infrastructure,MD,Major Capital Delivery,2021-12-22 17:00:00,2022-07-11 17:00:00,2023-12-22 17:00:00
F10234,2040273.8400000005,Major Works - Small Scale,2019-05-20 17:00:00,Service & Asset Lifecycle,17/12/2018 5:00:00 PM,2019-05-29 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-04-13 17:00:00,2023-04-13 17:00:00,2023-04-13 17:00:00
F10250,1602502.3000000005,Major Works - Small Scale,2019-04-01 17:00:00,Service & Asset Lifecycle,31/01/2019 5:00:00 PM,2019-05-14 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Service Enablement - One Water,2021-12-14 17:00:00,2024-03-08 17:00:00,2024-03-08 17:00:00
F10257,2287742.23,Major Works - Small Scale,2020-05-29 17:00:00,Service & Asset Lifecycle,17/01/2020 5:00:00 PM,2021-07-20 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-09-07 17:00:00,2023-09-07 17:00:00,2023-09-07 17:00:00
F10260,656020.69,Major Works - Small Scale,2019-08-21 17:00:00,Service & Asset Lifecycle,27/03/2019 5:00:00 PM,2020-02-20 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-10-27 17:00:00,2021-02-22 17:00:00,2021-12-21 08:00:00
F10261,282348.07999999996,Major Works - Small Scale,2019-11-08 17:00:00,Service & Asset Lifecycle,25/07/2019 5:00:00 PM,2020-01-15 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-06-30 17:00:00,2024-04-29 17:00:00,2024-04-30 17:00:00
F10264,256554.23999999996,Major Works - Small Scale,2019-11-06 17:00:00,Service & Asset Lifecycle,13/06/2019 5:00:00 PM,2019-12-10 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-04-14 17:00:00,2020-07-27 17:00:00,2021-06-08 17:00:00
F10279,548820.8700000001,Major Works - Small Scale,2020-11-13 17:00:00,Service & Asset Lifecycle,4/12/2019 5:00:00 PM,2021-01-27 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-08-23 17:00:00,2022-02-14 17:00:00,2024-03-28 17:00:00
F10288,818578.21,Major Works - Small Scale,2019-07-17 17:00:00,Service & Asset Lifecycle,4/03/2019 5:00:00 PM,2019-10-29 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-07-01 17:00:00,2020-09-30 17:00:00,2021-06-30 17:00:00
F10294,1052753.9000000001,Major Works - Small Scale,2019-09-25 08:00:00,Service & Asset Lifecycle,2/04/2019 5:00:00 PM,2019-10-29 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-07-20 17:00:00,2020-11-04 17:00:00,2021-08-24 17:00:00
F10317,725160.2999999999,Major Works - Small Scale,2019-08-14 17:00:00,Service & Asset Lifecycle,29/03/2019 5:00:00 PM,2020-03-12 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-10-27 17:00:00,2021-02-22 17:00:00,2021-12-21 08:00:00
F10321,9507047.55,Major Works - Framework,2024-04-15 17:00:00,Service & Asset Lifecycle,22/04/2019 5:00:00 PM,2024-06-28 08:00:00,25/11/2022 5:00:00 PM,3 Gate Major Infrastructure,MD,Major Capital Delivery,2028-02-25 17:00:00,2028-06-02 17:00:00,2030-03-08 17:00:00
F10323,425496.2099999999,Major Works - Small Scale,2019-07-11 17:00:00,Service & Asset Lifecycle,29/04/2019 5:00:00 PM,2019-08-20 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Service Enablement - One Water,2020-07-13 17:00:00,2023-07-21 17:00:00,2023-07-21 17:00:00
F10337,1700218.729999999,Major Works - Small Scale,2020-02-03 17:00:00,Service & Asset Lifecycle,14/08/2019 5:00:00 PM,2020-03-16 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-07-30 17:00:00,2022-11-07 17:00:00,2024-02-19 17:00:00
F10339,3803169.6,Major Works - Small Scale,2023-02-16 17:00:00,Service & Asset Lifecycle,11/09/2019 5:00:00 PM,2024-05-16 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2025-07-23 17:00:00,2025-10-23 17:00:00,2026-07-23 17:00:00
F10348,5651062.84,Major Works - Small Scale,2023-03-03 17:00:00,Service & Asset Lifecycle,14/10/2019 5:00:00 PM,2023-09-28 17:00:00,,2 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2025-02-17 17:00:00,2025-05-23 17:00:00,2026-02-18 17:00:00
F10349,577444.8100000002,Major Works - Small Scale,2020-10-30 17:00:00,Service & Asset Lifecycle,30/09/2019 5:00:00 PM,2020-12-15 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-06-16 17:00:00,2022-08-15 17:00:00,2022-09-30 17:00:00
F10357,1383596.48,Major Works - Small Scale,2020-06-29 17:00:00,Service & Asset Lifecycle,23/04/2020 5:00:00 PM,2020-09-23 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-10-29 17:00:00,2025-02-07 17:00:00,2026-02-10 17:00:00
F10358,1064769.8600000003,Major Works - Small Scale,2020-11-27 17:00:00,Service & Asset Lifecycle,17/10/2019 5:00:00 PM,2021-04-15 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-11-17 08:00:00,2023-02-27 17:00:00,2024-03-01 17:00:00
F10359,2651352.7300000004,Major Works - Small Scale,2021-04-16 17:00:00,Service & Asset Lifecycle,13/07/2020 5:00:00 PM,2021-09-07 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-05-14 17:00:00,2024-08-14 17:00:00,2025-05-14 17:00:00
F10365,7567638.62,Major Works - Framework,2024-02-16 17:00:00,Service & Asset Lifecycle,2/04/2020 5:00:00 PM,2024-04-16 17:00:00,7/03/2024 5:00:00 PM,3 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2025-12-24 17:00:00,2026-04-09 17:00:00,2027-01-04 17:00:00
F10374,1396896.6400000004,Major Works - Small Scale,2021-09-09 17:00:00,Service & Asset Lifecycle,17/10/2019 5:00:00 PM,2021-10-13 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-05-15 17:00:00,2023-08-22 17:00:00,2024-05-14 17:00:00
F10376,929915.16,Contestable,2023-05-26 17:00:00,Service & Asset Lifecycle,17/10/2019 5:00:00 PM,2023-07-06 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-02-04 17:00:00,2025-05-12 17:00:00,2026-02-05 17:00:00
F10379,942631.6200000001,Contestable,2023-07-06 17:00:00,Service & Asset Lifecycle,29/10/2019 5:00:00 PM,2023-08-24 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-05-01 17:00:00,2025-08-01 17:00:00,2026-05-01 17:00:00
F10383,3202419.229999999,Major Works - Small Scale,2022-03-18 17:00:00,Service & Asset Lifecycle,20/01/2020 5:00:00 PM,2022-05-12 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-04-16 17:00:00,2024-07-18 17:00:00,2025-04-14 17:00:00
F10388,2108435.7899999996,Major Works - Framework,2020-02-24 17:00:00,Service & Asset Lifecycle,16/12/2019 5:00:00 PM,2020-04-15 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-09-16 17:00:00,2021-12-22 17:00:00,2022-11-29 17:00:00
F10389,4946733.329999999,Major Works - Small Scale,2020-08-28 17:00:00,Service & Asset Lifecycle,30/01/2020 5:00:00 PM,2020-10-12 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2021-12-15 17:00:00,2022-07-29 17:00:00,2023-12-01 17:00:00
F10408,777573.25,Major Works - Small Scale,2020-06-29 17:00:00,Service & Asset Lifecycle,6/01/2020 5:00:00 PM,2021-03-18 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-05-09 17:00:00,,2026-04-21 17:00:00
F10409,1249940.7800000003,Contestable,2020-10-22 17:00:00,Service & Asset Lifecycle,24/10/2019 5:00:00 PM,2021-06-23 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-05-02 17:00:00,2022-07-25 17:00:00,2023-05-31 17:00:00
F10410,2487203.92,Major Works - Small Scale,2021-11-30 17:00:00,Service & Asset Lifecycle,24/08/2021 5:00:00 PM,2022-02-15 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-07-03 17:00:00,2024-10-03 17:00:00,2025-07-03 17:00:00
F10411,5470804.920000003,Contestable,2021-12-09 17:00:00,Service & Asset Lifecycle,24/10/2019 5:00:00 PM,2022-03-04 17:00:00,,2 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2024-05-13 17:00:00,2024-08-06 17:00:00,2025-05-12 17:00:00
F10412,5803002.15,Contestable,2027-04-07 17:00:00,Service & Asset Lifecycle,24/10/2019 5:00:00 PM,2027-06-28 17:00:00,,2 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2028-09-14 17:00:00,2028-12-18 17:00:00,2029-09-14 17:00:00
F10413,5819966.15,Contestable,2028-02-23 17:00:00,Service & Asset Lifecycle,24/10/2019 5:00:00 PM,2028-05-02 17:00:00,,2 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2029-07-03 17:00:00,2029-10-03 17:00:00,2030-07-04 17:00:00
F10414,4917997.55,Contestable,2028-02-29 17:00:00,Service & Asset Lifecycle,24/10/2019 5:00:00 PM,2028-05-08 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Service Enablement - One Water,2029-02-05 17:00:00,2029-05-11 17:00:00,2030-02-06 17:00:00
F10416,4700844.409999999,Major Works - Small Scale,2021-08-06 17:00:00,Service & Asset Lifecycle,25/06/2020 5:00:00 PM,2021-10-19 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2023-12-08 17:00:00,2024-03-20 17:00:00,2024-12-09 17:00:00
F10427,13260174.98,Major Works - Framework,2023-07-21 17:00:00,Service & Asset Lifecycle,28/06/2021 5:00:00 PM,2023-11-24 17:00:00,25/03/2022 5:00:00 PM,3 Gate Major Infrastructure,MD,Major Capital Delivery,2026-10-23 17:00:00,2027-02-12 17:00:00,2028-10-26 17:00:00
F10428,7239512.35,Major Works - Framework,2022-01-31 17:00:00,Service & Asset Lifecycle,21/09/2020 5:00:00 PM,2022-04-05 17:00:00,8/10/2021 5:00:00 PM,3 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2026-06-22 17:00:00,2026-09-21 17:00:00,2028-06-22 17:00:00
F10437,1050852.43,Major Works - Small Scale,2021-03-23 17:00:00,Service & Asset Lifecycle,1/11/2019 5:00:00 PM,2021-06-30 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-06-20 17:00:00,2022-10-28 17:00:00,2023-08-21 17:00:00
F10443,1067392.2499999995,Major Works - Framework,2020-04-01 08:00:00,Service & Asset Lifecycle,4/12/2019 5:00:00 PM,2020-08-04 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-04-16 17:00:00,2021-07-19 17:00:00,2023-12-04 17:00:00
F10446,4884065.8,Major Works - Small Scale,2022-08-31 17:00:00,Service & Asset Lifecycle,26/11/2019 5:00:00 PM,2022-11-04 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2025-07-01 17:00:00,2025-10-01 17:00:00,2026-07-01 17:00:00
F10449,1237620.8699999999,Major Works - Small Scale,2024-02-23 17:00:00,Service & Asset Lifecycle,11/06/2021 5:00:00 PM,2024-03-25 17:00:00,11/04/2023 5:00:00 PM,3 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-02-06 17:00:00,2025-05-14 17:00:00,2026-02-09 17:00:00
F10450,2108952.58,Major Works - Small Scale,2023-09-28 17:00:00,Service & Asset Lifecycle,11/06/2021 5:00:00 PM,2023-12-19 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-11-01 17:00:00,2025-02-12 17:00:00,2025-11-03 17:00:00
F10451,6272824.569999999,Major Works - Small Scale,2026-04-10 17:00:00,Service & Asset Lifecycle,16/06/2021 5:00:00 PM,2026-09-07 17:00:00,5/05/2025 5:00:00 PM,3 Gate Major Infrastructure,Executive Leadership Group,Service Enablement Waterways Catchments & Geotechnical,2027-11-11 17:00:00,2028-02-18 17:00:00,2028-11-09 17:00:00
F10461,7735811.53,Major Works - Framework,2021-02-23 17:00:00,Service & Asset Lifecycle,14/07/2020 5:00:00 PM,2021-08-05 17:00:00,11/11/2020 5:00:00 PM,3 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2024-07-01 17:00:00,2024-09-26 17:00:00,2026-06-30 17:00:00
F10463,231693.58999999997,Major Works - Small Scale,2021-03-09 17:00:00,Service & Asset Lifecycle,19/08/2020 5:00:00 PM,2021-03-23 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-08-18 17:00:00,2023-02-20 17:00:00,2023-04-05 17:00:00
F10467,513497.62000000005,Contestable,2021-12-10 17:00:00,Service & Asset Lifecycle,3/08/2021 5:00:00 PM,2022-03-11 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-09-15 17:00:00,2024-03-18 17:00:00,2024-09-16 17:00:00
F10476,5249338.0600000005,Major Works - Small Scale,2024-08-13 17:00:00,Service & Asset Lifecycle,29/05/2020 5:00:00 PM,2025-01-06 17:00:00,,2 Gate Major Infrastructure,Executive Leadership Group,Service Enablement Waterways Catchments & Geotechnical,2025-11-06 17:00:00,2026-02-19 17:00:00,2026-11-26 17:00:00
F10479,589306.3399999999,Major Works - Small Scale,2020-05-06 17:00:00,Service & Asset Lifecycle,7/04/2020 5:00:00 PM,2020-06-18 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-07-22 17:00:00,2024-10-22 17:00:00,2025-07-23 17:00:00
F10481,1682144.9,Major Works - Small Scale,2020-06-22 17:00:00,Service & Asset Lifecycle,20/05/2020 5:00:00 PM,2020-07-14 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-06-24 17:00:00,2022-12-07 17:00:00,2022-12-07 17:00:00
F10483,402853.61,Contestable,2021-12-10 17:00:00,Service & Asset Lifecycle,15/06/2021 5:00:00 PM,2022-03-11 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-09-20 17:00:00,2024-03-08 17:00:00,2024-09-19 17:00:00
F10501,385788.67000000004,Contestable,2021-02-17 17:00:00,Service & Asset Lifecycle,18/08/2020 5:00:00 PM,2021-03-23 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-04-05 17:00:00,2024-07-09 17:00:00,2025-04-03 17:00:00
F10514,1850973.8299999991,Major Works - Small Scale,2022-10-27 17:00:00,Service & Asset Lifecycle,21/03/2022 5:00:00 PM,2023-01-30 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-05-30 17:00:00,2024-08-30 17:00:00,2025-07-01 17:00:00
F10515,415673.9700000001,Major Works - Small Scale,2021-11-24 17:00:00,Service & Asset Lifecycle,14/12/2020 5:00:00 PM,2022-03-01 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-06-30 17:00:00,2022-09-20 17:00:00,2023-09-06 17:00:00
F10517,116204.69,Contestable,2020-09-28 17:00:00,Service & Asset Lifecycle,22/07/2020 5:00:00 PM,2020-10-30 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-01-31 17:00:00,2022-04-29 17:00:00,2023-01-27 17:00:00
F10520,691155.9999999999,Major Works - Small Scale,2020-10-06 17:00:00,Service & Asset Lifecycle,4/08/2020 5:00:00 PM,2020-11-05 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-03-05 17:00:00,2021-08-13 17:00:00,2022-03-15 17:00:00
F10523,307225.78,Major Works - Small Scale,2021-03-29 17:00:00,Service & Asset Lifecycle,3/08/2020 5:00:00 PM,2021-12-09 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-08-12 17:00:00,2024-11-13 17:00:00,2025-08-12 17:00:00
F10525,262842.39,Contestable,2020-10-09 17:00:00,Service & Asset Lifecycle,29/07/2020 5:00:00 PM,2020-11-27 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-06-29 17:00:00,2022-06-22 17:00:00,2022-10-31 17:00:00
F10528,232974.75999999992,Contestable,2021-02-19 17:00:00,Service & Asset Lifecycle,29/07/2020 5:00:00 PM,2021-06-23 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-04-22 08:00:00,2022-06-20 17:00:00,2023-10-10 17:00:00
F10530,1401607.8700000006,Major Works - Small Scale,2021-06-10 17:00:00,Service & Asset Lifecycle,11/11/2020 5:00:00 PM,2021-08-25 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-03-18 17:00:00,2024-06-21 17:00:00,2025-03-18 17:00:00
F10531,586219.73,Contestable,2020-08-31 17:00:00,Service & Asset Lifecycle,29/07/2020 5:00:00 PM,2020-09-21 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-03-12 17:00:00,2021-06-08 17:00:00,2022-03-22 17:00:00
F10533,882401.14,Major Works - Small Scale,2021-08-31 17:00:00,Service & Asset Lifecycle,16/02/2021 5:00:00 PM,2021-11-17 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-11-03 17:00:00,2023-02-11 17:00:00,2023-11-02 17:00:00
F10544,2343533.1799999997,Major Works - Small Scale,2021-06-25 17:00:00,Service & Asset Lifecycle,27/08/2020 5:00:00 PM,2021-08-19 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-07-07 17:00:00,2022-10-07 17:00:00,2024-07-30 17:00:00
F10554,2640733.5399999996,Major Works - Small Scale,2021-11-26 17:00:00,Service & Asset Lifecycle,11/06/2021 5:00:00 PM,2022-06-01 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-05-29 17:00:00,2024-08-28 17:00:00,2025-05-29 17:00:00
F10555,3247158.19,Major Works - Small Scale,2024-03-25 17:00:00,Service & Asset Lifecycle,1/02/2021 5:00:00 PM,2024-05-09 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2025-03-13 17:00:00,2025-06-18 17:00:00,2026-03-16 17:00:00
